id,slug,url,titulo,enunciado,temas,dificuldade,tema_principal,has_image
3574,maximize-subarray-gcd-score,https://leetcode.com/problems/maximize-subarray-gcd-score/,Maximize Subarray GCD Score,"You are given an array of positive integers  nums  and an integer  k . You may perform at most  k  operations. In each operation, you can choose one element in the array and  double  its value. Each element can be doubled  at most  once. The  score  of a contiguous  subarray  is defined as the  product  of its length and the  greatest common divisor (GCD)  of all its elements. Your task is to return the  maximum   score  that can be achieved by selecting a contiguous subarray from the modified array. Note: The  greatest common divisor (GCD)  of an array is the largest integer that evenly divides all the array elements.   Example 1: Input:   nums = [2,4], k = 1 Output:   8 Explanation: Double  nums[0]  to 4 using one operation. The modified array becomes  [4, 4] . The GCD of the subarray  [4, 4]  is 4, and the length is 2. Thus, the maximum possible score is  2 × 4 = 8 . Example 2: Input:   nums = [3,5,7], k = 2 Output:   14 Explanation: Double  nums[2]  to 14 using one operation. The modified array becomes  [3, 5, 14] . The GCD of the subarray  [14]  is 14, and the length is 1. Thus, the maximum possible score is  1 × 14 = 14 . Example 3: Input:   nums = [5,5,5], k = 1 Output:   15 Explanation: The subarray  [5, 5, 5]  has a GCD of 5, and its length is 3. Since doubling any element doesn't improve the score, the maximum score is  3 × 5 = 15 .   Constraints: 1 <= n == nums.length <= 1500 1 <= nums[i] <= 10 9 1 <= k <= n","['Array', 'Math', 'Enumeration', 'Number Theory']",Difícil,Array,False
1037,valid-boomerang,https://leetcode.com/problems/valid-boomerang/,Valid Boomerang,"Given an array  points  where  points[i] = [x i , y i ]  represents a point on the  X-Y  plane, return  true   if these points are a  boomerang . A  boomerang  is a set of three points that are  all distinct  and  not in a straight line .   Example 1: Input:  points = [[1,1],[2,3],[3,2]] Output:  true Example 2: Input:  points = [[1,1],[2,2],[3,3]] Output:  false   Constraints: points.length == 3 points[i].length == 2 0 <= x i , y i  <= 100","['Array', 'Math', 'Geometry']",Fácil,Array,False
1207,unique-number-of-occurrences,https://leetcode.com/problems/unique-number-of-occurrences/,Unique Number of Occurrences,"Given an array of integers  arr , return  true   if the number of occurrences of each value in the array is  unique  or  false  otherwise .   Example 1: Input:  arr = [1,2,2,1,1,3] Output:  true Explanation:  The value 1 has 3 occurrences, 2 has 2 and 3 has 1. No two values have the same number of occurrences. Example 2: Input:  arr = [1,2] Output:  false Example 3: Input:  arr = [-3,0,1,-3,1,1,1,-3,10,0] Output:  true   Constraints: 1 <= arr.length <= 1000 -1000 <= arr[i] <= 1000","['Array', 'Hash Table']",Fácil,Array,False
1929,concatenation-of-array,https://leetcode.com/problems/concatenation-of-array/,Concatenation of Array,"Given an integer array  nums  of length  n , you want to create an array  ans  of length  2n  where  ans[i] == nums[i]  and  ans[i + n] == nums[i]  for  0 <= i < n  ( 0-indexed ). Specifically,  ans  is the  concatenation  of two  nums  arrays. Return  the array  ans .   Example 1: Input:  nums = [1,2,1] Output:  [1,2,1,1,2,1] Explanation:  The array ans is formed as follows: - ans = [nums[0],nums[1],nums[2],nums[0],nums[1],nums[2]] - ans = [1,2,1,1,2,1] Example 2: Input:  nums = [1,3,2,1] Output:  [1,3,2,1,1,3,2,1] Explanation:  The array ans is formed as follows: - ans = [nums[0],nums[1],nums[2],nums[3],nums[0],nums[1],nums[2],nums[3]] - ans = [1,3,2,1,1,3,2,1]   Constraints: n == nums.length 1 <= n <= 1000 1 <= nums[i] <= 1000","['Array', 'Simulation']",Fácil,Array,False
1961,check-if-string-is-a-prefix-of-array,https://leetcode.com/problems/check-if-string-is-a-prefix-of-array/,Check If String Is a Prefix of Array,"Given a string  s  and an array of strings  words , determine whether  s  is a  prefix string  of  words . A string  s  is a  prefix string  of  words  if  s  can be made by concatenating the first  k  strings in  words  for some  positive   k  no larger than  words.length . Return  true  if  s  is a  prefix string  of  words , or  false  otherwise .   Example 1: Input:  s = ""iloveleetcode"", words = [""i"",""love"",""leetcode"",""apples""] Output:  true Explanation: s can be made by concatenating ""i"", ""love"", and ""leetcode"" together. Example 2: Input:  s = ""iloveleetcode"", words = [""apples"",""i"",""love"",""leetcode""] Output:  false Explanation: It is impossible to make s using a prefix of arr.   Constraints: 1 <= words.length <= 100 1 <= words[i].length <= 20 1 <= s.length <= 1000 words[i]  and  s  consist of only lowercase English letters.","['Array', 'Two Pointers', 'String']",Fácil,Array,False
1984,minimum-difference-between-highest-and-lowest-of-k-scores,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/,Minimum Difference Between Highest and Lowest of K Scores,"You are given a  0-indexed  integer array  nums , where  nums[i]  represents the score of the  i th  student. You are also given an integer  k . Pick the scores of any  k  students from the array so that the  difference  between the  highest  and the  lowest  of the  k  scores is  minimized . Return  the  minimum  possible difference .   Example 1: Input:  nums = [90], k = 1 Output:  0 Explanation:  There is one way to pick score(s) of one student: - [ 90 ]. The difference between the highest and lowest score is 90 - 90 = 0. The minimum possible difference is 0. Example 2: Input:  nums = [9,4,1,7], k = 2 Output:  2 Explanation:  There are six ways to pick score(s) of two students: - [ 9 , 4 ,1,7]. The difference between the highest and lowest score is 9 - 4 = 5. - [ 9 ,4, 1 ,7]. The difference between the highest and lowest score is 9 - 1 = 8. - [ 9 ,4,1, 7 ]. The difference between the highest and lowest score is 9 - 7 = 2. - [9, 4 , 1 ,7]. The difference between the highest and lowest score is 4 - 1 = 3. - [9, 4 ,1, 7 ]. The difference between the highest and lowest score is 7 - 4 = 3. - [9,4, 1 , 7 ]. The difference between the highest and lowest score is 7 - 1 = 6. The minimum possible difference is 2.   Constraints: 1 <= k <= nums.length <= 1000 0 <= nums[i] <= 10 5","['Array', 'Sliding Window', 'Sorting']",Fácil,Array,False
2404,most-frequent-even-element,https://leetcode.com/problems/most-frequent-even-element/,Most Frequent Even Element,"Given an integer array  nums , return  the most frequent even element . If there is a tie, return the  smallest  one. If there is no such element, return  -1 .   Example 1: Input:  nums = [0,1,2,2,4,4,1] Output:  2 Explanation: The even elements are 0, 2, and 4. Of these, 2 and 4 appear the most. We return the smallest one, which is 2. Example 2: Input:  nums = [4,4,4,9,2,4] Output:  4 Explanation:  4 is the even element appears the most. Example 3: Input:  nums = [29,47,21,41,13,37,25,7] Output:  -1 Explanation:  There is no even element.   Constraints: 1 <= nums.length <= 2000 0 <= nums[i] <= 10 5","['Array', 'Hash Table', 'Counting']",Fácil,Array,False
2418,sort-the-people,https://leetcode.com/problems/sort-the-people/,Sort the People,"You are given an array of strings  names , and an array  heights  that consists of  distinct  positive integers. Both arrays are of length  n . For each index  i ,  names[i]  and  heights[i]  denote the name and height of the  i th  person. Return  names  sorted in  descending  order by the people's heights .   Example 1: Input:  names = [""Mary"",""John"",""Emma""], heights = [180,165,170] Output:  [""Mary"",""Emma"",""John""] Explanation:  Mary is the tallest, followed by Emma and John. Example 2: Input:  names = [""Alice"",""Bob"",""Bob""], heights = [155,185,150] Output:  [""Bob"",""Alice"",""Bob""] Explanation:  The first Bob is the tallest, followed by Alice and the second Bob.   Constraints: n == names.length == heights.length 1 <= n <= 10 3 1 <= names[i].length <= 20 1 <= heights[i] <= 10 5 names[i]  consists of lower and upper case English letters. All the values of  heights  are distinct.","['Array', 'Hash Table', 'String', 'Sorting']",Fácil,Array,False
2432,the-employee-that-worked-on-the-longest-task,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task/,The Employee That Worked on the Longest Task,"There are  n  employees, each with a unique id from  0  to  n - 1 . You are given a 2D integer array  logs  where  logs[i] = [id i , leaveTime i ]  where: id i  is the id of the employee that worked on the  i th  task, and leaveTime i  is the time at which the employee finished the  i th  task. All the values  leaveTime i  are  unique . Note that the  i th  task starts the moment right after the  (i - 1) th  task ends, and the  0 th  task starts at time  0 . Return  the id of the employee that worked the task with the longest time.  If there is a tie between two or more employees, return  the  smallest  id among them .   Example 1: Input:  n = 10, logs = [[0,3],[2,5],[0,9],[1,15]] Output:  1 Explanation:   Task 0 started at 0 and ended at 3 with 3 units of times. Task 1 started at 3 and ended at 5 with 2 units of times. Task 2 started at 5 and ended at 9 with 4 units of times. Task 3 started at 9 and ended at 15 with 6 units of times. The task with the longest time is task 3 and the employee with id 1 is the one that worked on it, so we return 1. Example 2: Input:  n = 26, logs = [[1,1],[3,7],[2,12],[7,17]] Output:  3 Explanation:   Task 0 started at 0 and ended at 1 with 1 unit of times. Task 1 started at 1 and ended at 7 with 6 units of times. Task 2 started at 7 and ended at 12 with 5 units of times. Task 3 started at 12 and ended at 17 with 5 units of times. The tasks with the longest time is task 1. The employee that worked on it is 3, so we return 3. Example 3: Input:  n = 2, logs = [[0,10],[1,20]] Output:  0 Explanation:   Task 0 started at 0 and ended at 10 with 10 units of times. Task 1 started at 10 and ended at 20 with 10 units of times. The tasks with the longest time are tasks 0 and 1. The employees that worked on them are 0 and 1, so we return the smallest id 0.   Constraints: 2 <= n <= 500 1 <= logs.length <= 500 logs[i].length == 2 0 <= id i  <= n - 1 1 <= leaveTime i  <= 500 id i  != id i+1 leaveTime i  are sorted in a strictly increasing order.",['Array'],Fácil,Array,False
2441,largest-positive-integer-that-exists-with-its-negative,https://leetcode.com/problems/largest-positive-integer-that-exists-with-its-negative/,Largest Positive Integer That Exists With Its Negative,"Given an integer array  nums  that  does not contain  any zeros, find  the largest positive  integer  k  such that  -k  also exists in the array. Return  the positive integer  k . If there is no such integer, return  -1 .   Example 1: Input:  nums = [-1,2,-3,3] Output:  3 Explanation:  3 is the only valid k we can find in the array. Example 2: Input:  nums = [-1,10,6,7,-7,1] Output:  7 Explanation:  Both 1 and 7 have their corresponding negative values in the array. 7 has a larger value. Example 3: Input:  nums = [-10,8,6,7,-2,-3] Output:  -1 Explanation:  There is no a single valid k, we return -1.   Constraints: 1 <= nums.length <= 1000 -1000 <= nums[i] <= 1000 nums[i] != 0","['Array', 'Hash Table', 'Two Pointers', 'Sorting']",Fácil,Array,False
2529,maximum-count-of-positive-integer-and-negative-integer,https://leetcode.com/problems/maximum-count-of-positive-integer-and-negative-integer/,Maximum Count of Positive Integer and Negative Integer,"Given an array  nums  sorted in  non-decreasing  order, return  the maximum between the number of positive integers and the number of negative integers. In other words, if the number of positive integers in  nums  is  pos  and the number of negative integers is  neg , then return the maximum of  pos  and  neg . Note  that  0  is neither positive nor negative.   Example 1: Input:  nums = [-2,-1,-1,1,2,3] Output:  3 Explanation:  There are 3 positive integers and 3 negative integers. The maximum count among them is 3. Example 2: Input:  nums = [-3,-2,-1,0,0,1,2] Output:  3 Explanation:  There are 2 positive integers and 3 negative integers. The maximum count among them is 3. Example 3: Input:  nums = [5,20,66,1314] Output:  4 Explanation:  There are 4 positive integers and 0 negative integers. The maximum count among them is 4.   Constraints: 1 <= nums.length <= 2000 -2000 <= nums[i] <= 2000 nums  is sorted in a  non-decreasing order .   Follow up:  Can you solve the problem in  O(log(n))  time complexity?","['Array', 'Binary Search', 'Counting']",Fácil,Array,False
